anfitrion,distrito,alojamientos_por_anfitrion
2419064,Moncloa - Aravaca,1
2695144,Hortaleza,1
2713304,Centro,1
2727360,Salamanca,1
2741468,Centro,1
3249358,Chamberi,1
3244793,Arganzuela,1
3214130,Centro,1
3150192,Carabanchel,1
3141727,Chamartin,1
3121587,Centro,1
3117754,Chamberi,1
3105381,Tetuan,1
3062041,Villa de Vallecas,1
3021792,Centro,1
2993477,Tetuan,1
2990747,Salamanca,1
2952250,Salamanca,1
2952250,Retiro,1
2933277,Centro,1
2913511,Usera,1
2857508,Centro,1
2847360,Chamberi,1
2795931,Latina,1
2785251,Chamartin,1
2785251,Centro,1
2779192,Centro,1
2773350,Arganzuela,1
2750053,Tetuan,1
2747005,Salamanca,1
2747005,Moratalaz,1
2747005,Ciudad Lineal,1
13841663,Centro,1
