anfitrion;distrito;plazas;precio
2991925;Centro;2;$33.00
5935817;Chamberí;4;$95.00
5785483;Salamanca;1;$30.00
5950981;Centro;2;$76.00
2228918;Centro;3;$69.00
5941001;Centro;2;$50.00
3612732;Centro;1;$55.00
2044655;Centro;4;$130.00
2044655;Centro;4;$99.00
2044655;Centro;8;$230.00
5785483;Salamanca;2;$30.00
5997842;Arganzuela;2;$30.00
153391;Centro;2;$76.00
153391;Centro;2;$74.00
153391;Centro;4;$75.00
993166;Centro;2;$50.00
2847013;Centro;4;$85.00
6053704;Ciudad Lineal;2;$25.00
6072314;Centro;6;$45.00
6075016;Centro;3;$58.00
6104199;Puente de Vallecas;1;$24.00
6112385;Centro;2;$75.00
6119221;Centro;4;$70.00
6152491;Centro;2;$35.00
124972;Moncloa - Aravaca;2;$50.00
6191568;Salamanca;1;$17.00
6191686;Centro;2;$40.00
5870563;Centro;2;$85.00
1450378;Chamberí;1;$15.00
1450378;Chamberí;1;$26.00
641820;Centro;4;$510.00
6241052;Chamberí;4;$79.00
6270912;Centro;4;$85.00
6284655;Centro;3;$50.00
6053704;Ciudad Lineal;4;$80.00
6282893;Salamanca;4;$118.00
6319722;Chamberí;1;$44.00
6284734;Centro;2;$60.00
4599639;Centro;4;$150.00
4599639;Centro;3;$62.00
547389;Chamberí;1;$30.00
1706029;Chamberí;2;$32.00
6369472;Chamberí;2;$53.00
1703448;Villaverde;4;$69.00
6408401;Chamartin;1;$29.00
927343;Centro;4;$72.00
6420689;Latina;2;$22.00
6412103;Centro;3;$57.00
6427023;Villaverde;1;$78.00
6436336;Centro;2;$40.00
6443996;Centro;2;$45.00
6466920;Retiro;6;$91.00
3983613;Centro;4;$140.00
6483080;Centro;2;$80.00
6490189;Carabanchel;2;$21.00
2864064;Centro;4;$51.00
5795235;Centro;4;$70.00
4967875;Retiro;5;$94.00
4790263;Arganzuela;2;$35.00
3331390;Arganzuela;4;$84.00
4440463;Puente de Vallecas;2;$16.00
6636854;Centro;4;$90.00
6566447;Centro;6;$75.00
6711092;Centro;2;$200.00
6598518;Centro;3;$77.00
5542111;Centro;5;$60.00
6749419;Centro;4;$72.00
