id;anfitrion;url;tipo_alojamiento;distrito;precio;gastos_limpieza;plazas;noches_minimas;puntuacion;precio_persona
341939;1694537;https://www.airbnb.com/rooms/341939;Entire home/apt;Centro;55;30;2;3;94;39
342095;1703448;https://www.airbnb.com/rooms/342095;Entire home/apt;Centro;79;0;3;3;96;39,5
342670;1738846;https://www.airbnb.com/rooms/342670;Entire home/apt;Arganzuela;65;35;2;3;95;46
345195;1095831;https://www.airbnb.com/rooms/345195;Entire home/apt;Centro;81;60;3;3;80;50,5
345230;1095831;https://www.airbnb.com/rooms/345230;Private room;Centro;70;35;2;3;87;49
345233;1095831;https://www.airbnb.com/rooms/345233;Private room;Centro;70;35;2;3;100;49
345249;1751133;https://www.airbnb.com/rooms/345249;Entire home/apt;Tetuan;130;0;6;2;87;32,5
347510;1751133;https://www.airbnb.com/rooms/347510;Entire home/apt;Salamanca;135;0;6;2;90;33,75
353713;1791341;https://www.airbnb.com/rooms/353713;Private room;Centro;52;15;2;4;95;37,16666667
353746;1791341;https://www.airbnb.com/rooms/353746;Entire home/apt;Centro;77;20;2;15;91;69,11764706
354838;1496188;https://www.airbnb.com/rooms/354838;Entire home/apt;Centro;70;0;3;20;95;60,86956522
361053;1729503;https://www.airbnb.com/rooms/361053;Entire home/apt;Retiro;100;20;5;2;92;31,42857143
370815;1868359;https://www.airbnb.com/rooms/370815;Entire home/apt;Centro;70;30;5;2;95;24,28571429
374465;1714541;https://www.airbnb.com/rooms/374465;Private room;Retiro;22;15;3;2;91;11,8
375472;1888816;https://www.airbnb.com/rooms/375472;Private room;Arganzuela;24;0;2;6;93;18
376379;1892467;https://www.airbnb.com/rooms/376379;Entire home/apt;Centro;50;35;2;3;92;37
396532;1981346;https://www.airbnb.com/rooms/396532;Entire home/apt;Centro;105;20;4;2;97;38,33333333
397778;1408525;https://www.airbnb.com/rooms/397778;Entire home/apt;Centro;77;33;2;3;85;52,8
399140;1408525;https://www.airbnb.com/rooms/399140;Entire home/apt;Arganzuela;66;33;2;3;85;46,2
400139;1893660;https://www.airbnb.com/rooms/400139;Private room;Retiro;24;15;2;7;86;20,33333333
402588;1408525;https://www.airbnb.com/rooms/402588;Entire home/apt;Centro;82;32;4;3;91;39,71428571
404569;1408525;https://www.airbnb.com/rooms/404569;Entire home/apt;Centro;88;33;3;3;85;49,5
405786;1408525;https://www.airbnb.com/rooms/405786;Entire home/apt;Centro;85;48;6;5;93;43
406697;1973909;https://www.airbnb.com/rooms/406697;Entire home/apt;Centro;56;12;3;2;88;24,8
410699;2044655;https://www.airbnb.com/rooms/410699;Entire home/apt;Centro;155;50;4;3;97;73,57142857
413240;2056009;https://www.airbnb.com/rooms/413240;Private room;Chamartin;48;10;2;2;99;26,5
414763;1408525;https://www.airbnb.com/rooms/414763;Entire home/apt;Centro;66;32;2;3;92;46
415967;2068619;https://www.airbnb.com/rooms/415967;Entire home/apt;Centro;75;25;3;2;93;35
424816;2111994;https://www.airbnb.com/rooms/424816;Private room;Tetuan;40;35;1;7;85;39,375
427488;2124765;https://www.airbnb.com/rooms/427488;Entire home/apt;Chamberi;200;30;4;1;96;46
429306;2134007;https://www.airbnb.com/rooms/429306;Entire home/apt;Centro;120;95;5;3;96;56,875
429942;1450430;https://www.airbnb.com/rooms/429942;Entire home/apt;Tetuan;80;20;6;5;80;38,18181818
431806;2146727;https://www.airbnb.com/rooms/431806;Private room;Moncloa - Aravaca;35;20;2;55;96;34,12280702
434874;1408525;https://www.airbnb.com/rooms/434874;Entire home/apt;Centro;90;32;3;3;88;50,33333333
437670;805726;https://www.airbnb.com/rooms/437670;Private room;Latina;25;20;2;6;85;21,25
439699;2184051;https://www.airbnb.com/rooms/439699;Entire home/apt;Centro;70;20;4;1;94;18
440596;1280726;https://www.airbnb.com/rooms/440596;Entire home/apt;Chamberi;30;30;4;3;99;17,14285714
442986;2201302;https://www.airbnb.com/rooms/442986;Entire home/apt;Centro;85;40;2;2;92;52,5
449494;814490;https://www.airbnb.com/rooms/449494;Entire home/apt;Centro;55;20;3;4;85;34,28571429
459303;1408525;https://www.airbnb.com/rooms/459303;Entire home/apt;Centro;81;32;4;3;86;39,28571429
459362;1408525;https://www.airbnb.com/rooms/459362;Entire home/apt;Centro;82;32;2;3;94;55,6
462072;2296476;https://www.airbnb.com/rooms/462072;Entire home/apt;Centro;112;75;6;2;98;37,375
463246;2302267;https://www.airbnb.com/rooms/463246;Entire home/apt;Centro;75;35;4;3;96;37,14285714
464307;2307294;https://www.airbnb.com/rooms/464307;Entire home/apt;Centro;85;45;4;3;98;42,85714286
467552;2320165;https://www.airbnb.com/rooms/467552;Entire home/apt;Chamberi;90;20;3;2;94;40
469231;1408525;https://www.airbnb.com/rooms/469231;Entire home/apt;Centro;75;33;2;3;91;51,6
470132;2332600;https://www.airbnb.com/rooms/470132;Entire home/apt;Centro;83;40;4;2;94;34,33333333
471198;1408525;https://www.airbnb.com/rooms/471198;Entire home/apt;Centro;81;32;4;3;85;39,28571429
471238;1408525;https://www.airbnb.com/rooms/471238;Entire home/apt;Centro;82;32;4;4;86;45
