Comunidad autonoma;Grupo;Anyo;Mes;IPC
Castilla y Leon;Ocio y cultura;2020;Febrero;99.692
Castilla y Leon;Ocio y cultura;2020;Enero;99.294
Castilla y Leon;Ensenyanza;2020;Mayo;100.416
Castilla y Leon;Ensenyanza;2020;Abril;100.416
Castilla y Leon;Ensenyanza;2020;Marzo;100.406
Castilla y Leon;Ensenyanza;2020;Febrero;100.406
Castilla y Leon;Ensenyanza;2020;Enero;100.406
Castilla y Leon;Restaurantes y hoteles;2020;Mayo;107.942
Castilla y Leon;Restaurantes y hoteles;2020;Abril;107.356
Castilla y Leon;Restaurantes y hoteles;2020;Marzo;106.353
Castilla y Leon;Restaurantes y hoteles;2020;Febrero;106.023
Castilla y Leon;Restaurantes y hoteles;2020;Enero;105.262
Castilla y Leon;Otros bienes y servicios ;2020;Mayo;104.099
Castilla y Leon;Otros bienes y servicios ;2020;Abril;103.893
Castilla y Leon;Otros bienes y servicios ;2020;Marzo;103.667
Castilla y Leon;Otros bienes y servicios ;2020;Febrero;103.593
Castilla y Leon;Otros bienes y servicios ;2020;Enero;103.181
Castilla - La Mancha;Alimentos y bebidas no alcoholicas;2020;Mayo;107.879
Castilla - La Mancha;Alimentos y bebidas no alcoholicas;2020;Abril;108.035
Castilla - La Mancha;Alimentos y bebidas no alcoholicas;2020;Marzo;106.7
Castilla - La Mancha;Alimentos y bebidas no alcoholicas;2020;Febrero;106.511
Castilla - La Mancha;Alimentos y bebidas no alcoholicas;2020;Enero;105.936
Castilla - La Mancha;Bebidas alcoholicas y tabaco;2020;Mayo;104.79
Castilla - La Mancha;Bebidas alcoholicas y tabaco;2020;Abril;104.825
Castilla - La Mancha;Bebidas alcoholicas y tabaco;2020;Marzo;104.651
Castilla - La Mancha;Bebidas alcoholicas y tabaco;2020;Febrero;104.703
Castilla - La Mancha;Bebidas alcoholicas y tabaco;2020;Enero;104.282
Castilla - La Mancha;Vestido y calzado;2020;Mayo;109.22
Castilla - La Mancha;Vestido y calzado;2020;Abril;107.673
Castilla - La Mancha;Vestido y calzado;2020;Marzo;97.579
